;filename;camera_id;datetime;frame_id;label_class;x;y;w;h;confidance
0;cfg_raw_cam_01_fhd_h265_20230609T091000.mkv;01;2023-06-09 09:10:00;301;-1;0;0;0;0;0
1;cfg_raw_cam_02_fhd_h265_20230609T091002.mkv;02;2023-06-09 09:10:02;1176;-1;0;0;0;0;0
2;cfg_raw_cam_02_fhd_h265_20230609T154001.mkv;02;2023-06-09 15:40:01;1806;-1;0;0;0;0;0
3;cfg_raw_cam_02_fhd_h265_20230610T151001.mkv;02;2023-06-10 15:10:01;1122;-1;0;0;0;0;0
4;cfg_raw_cam_01_fhd_h265_20230609T105000.mkv;01;2023-06-09 10:50:00;576;-1;0;0;0;0;0
5;cfg_raw_cam_02_fhd_h265_20230610T160001.mkv;02;2023-06-10 16:00:01;1810;-1;0;0;0;0;0
6;cfg_raw_cam_02_fhd_h265_20230610T175003.mkv;02;2023-06-10 17:50:03;726;-1;0;0;0;0;0
7;cfg_raw_cam_02_fhd_h265_20230609T144002.mkv;02;2023-06-09 14:40:02;928;-1;0;0;0;0;0
8;cfg_raw_cam_02_fhd_h265_20230610T133002.mkv;02;2023-06-10 13:30:02;1678;-1;0;0;0;0;0
9;cfg_raw_cam_02_fhd_h265_20230610T115002.mkv;02;2023-06-10 11:50:02;1305;-1;0;0;0;0;0
10;cfg_raw_cam_02_fhd_h265_20230610T094001.mkv;02;2023-06-10 09:40:01;1375;-1;0;0;0;0;0
11;cfg_raw_cam_02_fhd_h265_20230609T143003.mkv;02;2023-06-09 14:30:03;1439;-1;0;0;0;0;0
12;cfg_raw_cam_01_fhd_h265_20230609T141003.mkv;01;2023-06-09 14:10:03;1667;-1;0;0;0;0;0
13;cfg_raw_cam_02_fhd_h265_20230609T134003.mkv;02;2023-06-09 13:40:03;819;-1;0;0;0;0;0
14;cfg_raw_cam_02_fhd_h265_20230609T154001.mkv;02;2023-06-09 15:40:01;302;-1;0;0;0;0;0
15;cfg_raw_cam_02_fhd_h265_20230609T151000.mkv;02;2023-06-09 15:10:00;1987;-1;0;0;0;0;0
16;cfg_raw_cam_02_fhd_h265_20230610T141002.mkv;02;2023-06-10 14:10:02;1925;-1;0;0;0;0;0
17;cfg_raw_cam_01_fhd_h265_20230609T064001.mkv;01;2023-06-09 06:40:01;2139;-1;0;0;0;0;0
18;cfg_raw_cam_02_fhd_h265_20230609T125000.mkv;02;2023-06-09 12:50:00;950;-1;0;0;0;0;0
19;cfg_raw_cam_01_fhd_h265_20230609T123003.mkv;01;2023-06-09 12:30:03;1312;-1;0;0;0;0;0
20;cfg_raw_cam_02_fhd_h265_20230610T120001.mkv;02;2023-06-10 12:00:01;60;-1;0;0;0;0;0
21;cfg_raw_cam_02_fhd_h265_20230609T150001.mkv;02;2023-06-09 15:00:01;605;-1;0;0;0;0;0
22;cfg_raw_cam_01_fhd_h265_20230609T101003.mkv;01;2023-06-09 10:10:03;32;-1;0;0;0;0;0
23;cfg_raw_cam_02_fhd_h265_20230610T152000.mkv;02;2023-06-10 15:20:00;653;-1;0;0;0;0;0
24;cfg_raw_cam_02_fhd_h265_20230609T104003.mkv;02;2023-06-09 10:40:03;484;-1;0;0;0;0;0
25;cfg_raw_cam_02_fhd_h265_20230610T170000.mkv;02;2023-06-10 17:00:00;1714;-1;0;0;0;0;0
26;cfg_raw_cam_02_fhd_h265_20230610T162003.mkv;02;2023-06-10 16:20:03;1312;-1;0;0;0;0;0
27;cfg_raw_cam_02_fhd_h265_20230610T083003.mkv;02;2023-06-10 08:30:03;822;-1;0;0;0;0;0
28;cfg_raw_cam_02_fhd_h265_20230609T134003.mkv;02;2023-06-09 13:40:03;585;-1;0;0;0;0;0
29;cfg_raw_cam_02_fhd_h265_20230609T101001.mkv;02;2023-06-09 10:10:01;703;-1;0;0;0;0;0
30;cfg_raw_cam_02_fhd_h265_20230610T152000.mkv;02;2023-06-10 15:20:00;1685;-1;0;0;0;0;0
31;cfg_raw_cam_01_fhd_h265_20230609T142002.mkv;01;2023-06-09 14:20:02;664;-1;0;0;0;0;0
32;cfg_raw_cam_02_fhd_h265_20230610T115002.mkv;02;2023-06-10 11:50:02;152;-1;0;0;0;0;0
33;cfg_raw_cam_01_fhd_h265_20230609T131000.mkv;01;2023-06-09 13:10:00;1608;-1;0;0;0;0;0
34;cfg_raw_cam_02_fhd_h265_20230610T142001.mkv;02;2023-06-10 14:20:01;893;-1;0;0;0;0;0
35;cfg_raw_cam_02_fhd_h265_20230609T131002.mkv;02;2023-06-09 13:10:02;1343;-1;0;0;0;0;0
